Country Name,Series Name,1960,1970,1980,1990,2000,2010,2020,2030,2040,2050,Inc50Years,%In50Years
Sweden,"Population, total",7484656,8042801,8310531,8558835,8872109,9378126,10319000,10933000,11440000,12007000,2276199,28.30107322
Switzerland,"Population, total",5327827,6180877,6319408,6715519,7184250,7824909,8641000,9145000,9495000,9727000,2460123,39.80216723
Syrian Arab Republic,"Population, total",4573512,6350541,8930774,12446171,16410848,21362529,17501000,26677000,30153000,33129000,11150459,175.5828204
Tajikistan,"Population, total",2087049,2930107,3905446,5283814,6216341,7527394,9538000,11557000,13846000,16208000,6607893,225.5171228
Tanzania,"Population, total",10052152,13535481,18538259,25203845,33499180,44346525,59734000,79163000,102587000,129387000,46198519,341.3142023
Thailand,"Population, total",27397207,36884536,47374472,56558186,62952642,67195028,69800000,70346000,69008000,65940000,32915464,89.2391977
Timor-Leste,"Population, total",474532,571565,599905,737814,884366,1093523,1318000,1574000,1809000,2019000,746435,130.5949455
Togo,"Population, total",1580513,2115522,2720839,3774312,4924402,6421679,8279000,10422000,12850000,15415000,6163478,291.345493
Tonga,"Population, total",61577,84351,92971,95069,97973,103986,106000,116000,126000,134000,21649,25.66537445
Trinidad and Tobago,"Population, total",847979,945360,1084744,1221116,1267153,1328147,1399000,1413000,1392000,1344000,453640,47.98595244
Tunisia,"Population, total",4178236,5063809,6374039,8242496,9708350,10635244,11819000,12756000,13353000,13797000,6755191,133.4013783
Turkey,"Population, total",27472345,34876303,43975971,53921760,63240194,72326988,84339000,89158000,94132000,97140000,49462697,141.8232231
Turkmenistan,"Population, total",1603258,2195175,2876808,3683967,4516133,5087213,6031000,6782000,7409000,7949000,3835825,174.738916
Turks and Caicos Islands,"Population, total",5824,5841,7888,12111,20164,32660,39000,44000,48000,50000,33159,567.693888
Tuvalu,"Population, total",5323,5735,7637,8913,9394,10530,12000,13000,15000,16000,6265,109.2414996
Uganda,"Population, total",6767095,9405600,12442334,17354392,23650172,32428167,45741000,59438000,74455000,89447000,36335400,386.3166624
Ukraine,"Population, total",42664652,47088857,49965874,51892000,49175848,45870700,44158000,41719000,39060000,36799000,-2930857,-6.224098835
United Arab Emirates,"Population, total",92418,234514,1019509,1828432,3134062,8549988,9890000,10661000,10648000,10425000,9655486,4117.232233
United Kingdom,"Population, total",52400000,55663250,56314216,57247586,58892514,62766365,67224000,70277000,72616000,74620000,11560750,20.76908912
United States,"Population, total",180671000,205052000,227225000,249623000,282162411,309326085,331915000,354448000,371993000,387002000,126863000,61.86869672
Upper middle income,"Population, total",1184555662,1459613363,1760396042,2069481368,2317310149,2499410493,2685886000,2787205000,2822935000,2808580000,1226272637,84.01352496
Uruguay,"Population, total",2538643,2809793,2915389,3109601,3319736,3359275,3474000,3569000,3624000,3639000,664207,23.63900116
Uzbekistan,"Population, total",8526300,12080317,15898757,20510000,24650400,28562400,33749000,36811000,38856000,39980000,21668683,179.3718079
Vanuatu,"Population, total",63689,85377,115597,146573,184972,236211,307000,383000,468000,557000,221623,259.5816203
"Venezuela, RB","Population, total",8141841,11396393,15182611,19632665,24192446,28439940,28436000,33626000,35819000,37023000,17039607,149.5175447
Vietnam,"Population, total",32670039,43404793,54281846,67988862,79910412,87967651,97339000,104164000,107795000,109605000,53934207,124.2586435
Virgin Islands (U.S.),"Population, total",32500,63476,99636,103963,108642,108358,107000,105000,101000,95000,43524,68.56764761
West Bank and Gaza,"Population, total",..,..,..,1978248,2922153,3786161,4813000,6092000,7418000,8767000,#VALUE!,#VALUE!
World,"Population, total",3032019978,3683676306,4434021975,5281340078,6115108363,6922947261,7754179000,8501040000,9140723000,9672918000,4070502694,110.5010961
"Yemen, Rep.","Population, total",5315355,6193384,7941898,11709993,17409072,23154855,29826000,36407000,42670000,48080000,23632616,381.5784069
Zambia,"Population, total",3070776,4179067,5851825,8036845,10415944,13605984,18384000,24326000,31338000,39121000,14204933,339.9068022
Zimbabwe,"Population, total",3776681,5289303,7408624,10432421,11881477,12697723,14863000,17596000,20864000,23948000,9573697,181.0011073
