Country Name,Series Name,1960,1970,1980,1990,2000,2010,2020,2030,2040,2050,Inc50Years,%In50Years
Bulgaria,"Population, total",7867374,8489574,8861535,8718289,8170172,7395599,6916000,6338000,5736000,5213000,-1573574,-18.53537056
Burkina Faso,"Population, total",4829288,5624600,6822843,8811034,11607942,15605217,20903000,27404000,35051000,43432000,15278400,271.6353163
Burundi,"Population, total",2797932,3479074,4157298,5438957,6378871,8675602,11891000,15773000,20253000,25325000,8411926,241.7863489
Cabo Verde,"Population, total",201765,268627,283847,337950,428188,492654,556000,610000,652000,679000,287373,106.9784497
Cambodia,"Population, total",5722370,6996576,6693764,8975597,12155239,14312212,16719000,18781000,20527000,21861000,9722424,138.9597426
Cameroon,"Population, total",5176918,6519762,8621406,11780088,15513945,20341241,26546000,33766000,41873000,50573000,20026238,307.1621019
Canada,"Population, total",17909009,21324000,24515667,27691138,30685730,34004889,37684000,40352000,42230000,43737000,16360000,76.72106547
Caribbean small states,"Population, total",4194710,4893454,5482206,6009251,6513485,6973206,7443000,7751000,7854000,7765000,2549546,52.10115391
Cayman Islands,"Population, total",7865,9144,16212,25312,42303,56672,66000,73000,80000,85000,56856,621.7847769
Central African Republic,"Population, total",1501668,1811144,2199356,2806734,3640427,4386768,4830000,5942000,7205000,8401000,3018856,166.6822737
Central Europe and the Baltics,"Population, total",91401764,99134548,106576687,110743128,108447824,104421447,101847000,97845000,92446000,87263000,2712452,2.736131908
Chad,"Population, total",3001609,3643604,4514430,5963252,8355654,11952136,16426000,21690000,27643000,34031000,12782396,350.8173775
Channel Islands,"Population, total",109420,121197,128212,140671,148443,159734,174000,185000,194000,199000,52803,43.5679101
Chile,"Population, total",8132990,9783134,11419348,13274623,15342353,17062536,19116000,19458000,20157000,20319000,9332866,95.39750759
China,"Population, total",667070000,818315000,981235000,1135185000,1262645000,1337705000,1401379000,1416292000,1390727000,1335573000,583064000,71.25177957
Colombia,"Population, total",16057724,21480065,26900506,33102575,39629968,45222700,50883000,53417000,55336000,55958000,29402935,136.884758
Comoros,"Population, total",191121,230054,307829,411594,542357,689692,870000,1063000,1266000,1472000,639946,278.1720813
"Congo, Dem. Rep.","Population, total",15248251,20011036,26358908,34612023,47105826,64563854,89561000,120047000,155725000,194489000,69549964,347.5580375
"Congo, Rep.","Population, total",1018253,1326885,1777934,2356737,3127411,4273731,5518000,7020000,8777000,10702000,4191115,315.8612088
Costa Rica,"Population, total",1330782,1847394,2389977,3119433,3962372,4577378,5094000,5468000,5692000,5773000,3246606,175.7397718
Cote d'Ivoire,"Population, total",3503553,5102064,8033650,11924877,16454668,20532950,26378000,33713000,42083000,51264000,21275936,417.0064507
Croatia,"Population, total",4140181,4412252,4599782,4777368,4468302,4295427,4052000,3864000,3647000,3430000,-360252,-8.16481017
Cuba,"Population, total",7141250,8712541,9849459,10596987,11126430,11225832,11327000,11142000,10765000,10162000,2614459,30.00799652
Curacao,"Population, total",124826,144739,148041,145400,133860,148703,162000,171000,177000,181000,17261,11.92560402
Cyprus,"Population, total",572930,613618,685405,766615,943290,1112612,1207000,1275000,1324000,1355000,593382,96.70218279
Czech Republic,"Population, total",9602006,9858071,10304193,10333355,10255063,10474410,10631000,10491000,10208000,10023000,772929,7.840570432
Denmark,"Population, total",4579603,4928757,5123027,5140939,5339616,5547683,5840000,6047000,6207000,6314000,911243,18.48829228
Djibouti,"Population, total",83636,159659,358960,590398,717584,840198,988000,1117000,1217000,1295000,828341,518.8188577
Dominica,"Population, total",60011,71073,75314,70419,69650,70878,72000,73000,73000,71000,927,1.304292769
Dominican Republic,"Population, total",3294224,4499720,5803927,7133494,8471321,9695121,10848000,11770000,12416000,12796000,6348280,141.0816673
